ArtNo,RawMat,Breakage,Abrasion,Weathering/staining,Sediments,Cortex,Pb,Zn,Vn,Type,NMDS_type,Length,Width,Thick,PlatW,PlatT,Volume,Area,ScarC,RetType,RetPlan,EdgeType,PlatType,BulbType,ScarPat,CoreType,Notes,Model,Illustration
E1095,Limonite,Complete,Light,"Yellow staining, tertiary",,Secondary,15,12,0.3,Core,Discoid,93.904243,85.704152,45.808997,,,169471.0191,8047.983516,21,,,Battered,,,Irregular,Discoidal,,,To illustrate
E1096,Quartzite,Complete,Light,"Red staining, tertiary",Yellow clay,Secondary,,,,Core,Discoid,60.011946,52.814252,42.850669,,,59618.47328,3169.486039,23,,,Battered,,,Irregular,Discoidal,Redo model without smoothing,,To illustrate
E1097,Rock crystal quartz,Complete,Fresh,,Dark clay,Tertiary,,,,Flake,Flake,50.1,37.3,16,24.4,15,,1868.73,6,,,Unmodified,Dihedral,Hertzian,Convergent,,Double check pictures for retouh,FALSE,
E1098,Limonite,Complete,Light,"Yellow staining, tertiary",Yellow clay,Tertiary,,,,Retouched flake,Scraper,43.903387,50.633818,12.626184,23.8,9.08,11410.65922,2222.996107,6,Minimal,End,Bifacial retouch,Flat,Hertzian,Bidirectional,,,,
E1099,Vein quartz,Proximal,Fresh,,Dark clay,Tertiary,,,,Broken flake,Modified flake,53.958509,36.251721,12.528556,30.5,12.1,9733.990474,1956.088814,5,Invasive,Side,Dorsal,Multifacetted,Hertzian,Convergent,,,,
E1100,Vein quartz,Complete,Fresh,"Yellow and red staining, secondary",Dark clay,Secondary,,,,Retouched flake,Backed piece,70.895171,29.881193,12.513035,10.2,5.51,11810.44286,2118.432287,7,Invasive,Side,Backed,Crushed,Hertzian,Unidirectional,,"Blade, probably naturally backed",,
E1101,Vein quartz,Complete,Fresh,,Yellow clay,Secondary,,,,Retouched flake,"Blade, modified",66.802541,25.945705,8.632616,16.8,6.02,5936.948302,1733.239022,5,Minimal,Side,Dorsal,Multifacetted,Hertzian,Bidirectional,,Blade (this also looks prismatic),,
E1102,Vein quartz,Complete,Fresh,,Yellow clay,Tertiary,,,,Flake,Flake,49.814851,52.018022,21.797339,47.1,18.5,24050.2788,2591.270015,9,,,Unmodified,Flat,None,Irregular,,"Severe rebound force on distal ventral, potential bipolar made on an expended discoid",,
E1103,Rock crystal quartz,Proximal,Fresh,,Yellow clay,Tertiary,,,,Broken flake,Flake fragment,40.523707,27.196603,11.181397,17.7,8.7,5142.239589,1102.107171,3,,,Unmodified,Flat,Hertzian,Orthogonal,,,FALSE,
E1104,Vein quartz,Complete,Fresh,,Yellow clay,Tertiary,,,,Retouched flake,Modified flake,56.281375,48.166617,13.09147,38.2,12.3,10376.92069,2710.883434,4,Minimal,Side,Dorsal,Multifacetted,Hertzian,Bidirectional,,Several step terminations on dorsal,,
E1105,Vein quartz,Proximal,Fresh,,Yellow clay,Tertiary,,,,Broken flake,Modified flake,46.6948,41.327646,11.788616,28.3,8.59,10183.95727,1929.786164,5,Minimal,Side,Dorsal,Crushed,None,Orthogonal,,,,
E1106,Vein quartz,Complete,Fresh,,Dark clay,Tertiary,,,,Retouched flake,Blade,49.129056,22.130304,5.582312,8.23,1.68,2197.118349,1087.240945,3,Minimal,Side,Bifacial retouch,Crushed,Hertzian,Unidirectional,,"Platform used to be point, retouch could be post-depositional damage",,
E1107,Vein quartz,Distal,Fresh,,Yellow clay,Tertiary,,,,Retouched flake,Pick,101.92098,42.964406,27.602351,,,45802.02369,4378.974365,9,Minimal,Circular,Bifacial retouch,,None,Orthogonal,,Placement according to tool-form is different than placement according to axis. Here it is placed as tool-form,,
E1108,Rock crystal quartz,Complete,Fresh,,Yellow clay,Tertiary,,,,Core-on-flake,Core-on-flake,49.102033,51.84073,14.579615,38.2,11.1,15830.81079,2545.485235,,,,Unmodified,Dihedral,,Convergent,Hierarchical,Levallois point core. Positioned according to last major scar. Bulb flaked away. Too much matrix to tell scar count on dorsal side,,To illustrate
E1109,Vein quartz,Proximal,Fresh,,Dark clay,Tertiary,,,,Broken flake,Flake fragment,47.225995,32.088735,12.65197,20.5,6.58,7031.371646,1515.422439,5,Minimal,Side,Dorsal,Flat,Sheared,Unidirectional,,Probably bipolar,,
E1110,Vein quartz,Complete,Fresh,,Yellow clay,Tertiary,,,,Retouched flake,Misc retouch,45.213385,49.560883,15.063311,45.1,14.3,12857.83063,2240.815284,4,Minimal,Circular,Ventral,Multifacetted,Hertzian,Orthogonal,,"Nice example of scraper, potential for illustration",,
